label,label_repr,count,stripped,has_leading_or_trailing_space,open_paren,close_paren
빅데이터 분석 기사,'빅데이터 분석 기사',368,빅데이터 분석 기사,False,0,0
SQLD,'SQLD',342,SQLD,False,0,0
ADsP,'ADsP',273,ADsP,False,0,0
정보처리기사,'정보처리기사',225,정보처리기사,False,0,0
구글 애널리스트,'구글 애널리스트',121,구글 애널리스트,False,0,0
태블로 관련 자격증,'태블로 관련 자격증',113,태블로 관련 자격증,False,0,0
.,'.',3,.,False,0,0
ADP,'ADP',2,ADP,False,0,0
사회조사분석사,'사회조사분석사',2,사회조사분석사,False,0,0
SQLP,'SQLP',2,SQLP,False,0,0
SQLD는 합격여부를 기다리는중,'SQLD는 합격여부를 기다리는중',1,SQLD는 합격여부를 기다리는중,False,0,0
없음,'없음',1,없음,False,0,0
자격증은 취득 예정 없음,'자격증은 취득 예정 없음',1,자격증은 취득 예정 없음,False,0,0
아직은 없음,'아직은 없음',1,아직은 없음,False,0,0
네트워크관리사2급,'네트워크관리사2급',1,네트워크관리사2급,False,0,0
한능검,'한능검',1,한능검,False,0,0
SQL 개발자,'SQL 개발자',1,SQL 개발자,False,0,0
리눅스마스터,'리눅스마스터',1,리눅스마스터,False,0,0
AWS CLF,'AWS CLF',1,AWS CLF,False,0,0
x,'x',1,x,False,0,0
아직 계획없습니다.,'아직 계획없습니다.',1,아직 계획없습니다.,False,0,0
품질경영기사,'품질경영기사',1,품질경영기사,False,0,0
AICE,'AICE',1,AICE,False,0,0
품질경영,'품질경영',1,품질경영,False,0,0
리눅스 마스터 2급,'리눅스 마스터 2급',1,리눅스 마스터 2급,False,0,0
경영정보시각화능,'경영정보시각화능',1,경영정보시각화능,False,0,0
아직 없음,'아직 없음',1,아직 없음,False,0,0
ADO,'ADO',1,ADO,False,0,0
sqlp 등,'sqlp 등',1,sqlp 등,False,0,0
sqld 시험 응시는 완료. 발표아직안남,'sqld 시험 응시는 완료. 발표아직안남',1,sqld 시험 응시는 완료. 발표아직안남,False,0,0
AI 자격증(AICE),'AI 자격증(AICE)',1,AI 자격증(AICE),False,1,1
자격증은 아직 잘 모르겠음,'자격증은 아직 잘 모르겠음',1,자격증은 아직 잘 모르겠음,False,0,0
클라우드 관련 자격증,'클라우드 관련 자격증',1,클라우드 관련 자격증,False,0,0
Adp,'Adp',1,Adp,False,0,0
ADsP는 8,'ADsP는 8',1,ADsP는 8,False,0,0
30 발표 기다리는중(시험 응시),'30 발표 기다리는중(시험 응시)',1,30 발표 기다리는중(시험 응시),False,1,1
Pccp,'Pccp',1,Pccp,False,0,0
딱히 없음,'딱히 없음',1,딱히 없음,False,0,0
